Reference,Cultivar,Species,Isolates,MeanLesionLengthDetached,sdDetached,MeanLesionLengthAttached,sdAttached
Xu et al. 2015,Bluecrop,L. theobromae,SHSJ6,28.2,9.2,47.1,29.6
Xu et al. 2015,Bluecrop,L. theobromae,ZJXCSX2,26.4,9.3,16.1,12.1
Xu et al. 2015,Bluecrop,N. parvum,SCDY2-1,29.4,11.7,50.5,24.7
Xu et al. 2015,Bluecrop,N. parvum,SCDY3-2,30.9,13.1,21.7,8.6
Xu et al. 2015,Bluecrop,N. parvum,FJCT4-3,31.2,13.6,11.8,3.5
Xu et al. 2015,Bluecrop,N. parvum,ZJXC3,29.4,13.2,41.7,16.4
Xu et al. 2015,Bluecrop,N. parvum,YNSL6-2B,26.9,10.2,56,16.8
Xu et al. 2015,Bluecrop,N. parvum,SHSJ2-2,31.9,11.7,33.8,19.3
Xu et al. 2015,Bluecrop,B. dothidea,LNXC13-2,15.3,5.1,10,0.7
Xu et al. 2015,Bluecrop,B. dothidea,ZJXC1-1,13.2,5.6,11,1.6
Xu et al. 2015,Bluecrop,B. dothidea,SCDY7-1,11.2,3.1,12,1.9
Xu et al. 2015,Bluecrop,B. dothidea,SD-B8,12.9,5.8,11.5,1.4
Xu et al. 2015,Bluecrop,B. dothidea,SHSJ1-1,9.5,1.4,9.3,0.7
Xu et al. 2015,Bluecrop,B. dothidea,FJCT4-1,11.4,2.9,8.9,0.9
Xu et al. 2015,Bluecrop,B. dothidea,JSGY7,11.1,3.4,9.9,0.6
Xu et al. 2015,Bluecrop,B. dothidea,LNZHA2-1,11.2,2.6,8.6,1.3